locationTime,accumulated_usage
2024-10-06 22:42:00,222481.0
2024-10-06 22:43:00,222481.5
2024-10-06 22:44:00,222482.0
2024-10-06 22:45:00,222483.0
2024-10-06 22:46:00,222484.5
2024-10-06 22:47:00,222486.0
2024-10-06 22:48:00,222487.5
2024-10-06 22:49:00,222487.5
2024-10-06 22:50:00,222488.5
2024-10-06 22:51:00,222489.0
2024-10-06 22:52:00,222490.0
2024-10-06 22:53:00,222490.0
2024-10-06 22:54:00,222491.0
2024-10-06 22:55:00,222491.0
2024-10-06 22:56:00,222491.5
2024-10-06 22:57:00,222491.5
2024-10-06 22:58:00,222492.0
2024-10-06 22:59:00,222492.5
2024-10-06 23:00:00,222492.5
2024-10-06 23:01:00,222493.0
2024-10-06 23:02:00,222493.5
2024-10-06 23:03:00,222493.5
2024-10-06 23:04:00,222494.0
2024-10-06 23:05:00,222494.0
2024-10-06 23:06:00,222494.0
2024-10-06 23:07:00,222494.5
2024-10-06 23:08:00,222494.5
2024-10-06 23:09:00,222495.0
2024-10-06 23:10:00,222495.5
2024-10-06 23:11:00,222496.0
2024-10-06 23:12:00,222496.0
2024-10-06 23:13:00,222496.5
2024-10-06 23:14:00,222496.5
2024-10-06 23:15:00,222496.5
2024-10-06 23:16:00,222496.5
2024-10-06 23:17:00,222496.5
2024-10-06 23:18:00,222496.5
2024-10-06 23:19:00,222496.5
2024-10-06 23:20:00,222496.5
2024-10-06 23:21:00,222497.0
2024-10-06 23:22:00,222497.5
2024-10-06 23:23:00,222499.0
2024-10-06 23:24:00,222499.5
2024-10-06 23:25:00,222500.0
2024-10-06 23:26:00,222500.0
2024-10-06 23:27:00,222500.5
2024-10-06 23:28:00,222501.0
2024-10-06 23:29:00,222501.5
2024-10-06 23:30:00,222501.5
2024-10-06 23:31:00,222502.0
2024-10-06 23:32:00,222502.0
2024-10-06 23:33:00,222502.5
2024-10-06 23:34:00,222502.5
2024-10-06 23:35:00,222502.5
2024-10-06 23:36:00,222503.0
2024-10-06 23:37:00,222503.0
2024-10-06 23:38:00,222503.5
2024-10-06 23:39:00,222504.0
2024-10-06 23:40:00,222504.0
2024-10-06 23:41:00,222504.5
2024-10-06 23:42:00,222506.0
2024-10-06 23:43:00,222506.5
2024-10-06 23:44:00,222508.0
2024-10-06 23:45:00,222509.0
2024-10-06 23:46:00,222510.0
2024-10-06 23:47:00,222511.0
2024-10-06 23:48:00,222511.5
2024-10-06 23:49:00,222512.0
2024-10-06 23:50:00,222512.0
2024-10-06 23:51:00,222512.5
2024-10-06 23:52:00,222513.5
2024-10-06 23:53:00,222514.0
2024-10-06 23:54:00,222514.5
2024-10-06 23:55:00,222515.0
2024-10-06 23:56:00,222516.0
2024-10-06 23:57:00,222516.5
2024-10-06 23:58:00,222517.0
2024-10-06 23:59:00,222518.0
2024-10-07 00:00:00,222519.0
2024-10-07 00:01:00,222519.5
2024-10-07 00:02:00,222519.5
2024-10-07 00:03:00,222520.0
2024-10-07 00:04:00,222520.0
2024-10-07 00:05:00,222520.5
2024-10-07 00:06:00,222521.5
2024-10-07 00:07:00,222522.5
2024-10-07 00:08:00,222523.0
2024-10-07 00:09:00,222523.5
2024-10-07 00:10:00,222524.0
2024-10-07 00:11:00,222524.5
2024-10-07 00:12:00,222524.5
2024-10-07 00:13:00,222525.5
2024-10-07 00:14:00,222526.5
2024-10-07 00:15:00,222526.5
2024-10-07 00:16:00,222527.5
2024-10-07 00:17:00,222528.5
2024-10-07 00:18:00,222529.0
2024-10-07 00:19:00,222529.5
2024-10-07 00:20:00,222530.0
2024-10-07 00:21:00,222530.0
2024-10-07 00:22:00,222531.0
2024-10-07 00:23:00,222531.5
2024-10-07 00:24:00,222532.5
2024-10-07 00:25:00,222533.5
2024-10-07 00:26:00,222534.5
2024-10-07 00:27:00,222535.0
2024-10-07 00:28:00,222536.0
2024-10-07 00:29:00,222537.0
2024-10-07 00:30:00,222537.5
2024-10-07 00:31:00,222539.0
2024-10-07 00:32:00,222540.5
2024-10-07 00:33:00,222541.0
2024-10-07 00:34:00,222542.0
2024-10-07 00:35:00,222542.5
